kreis_id;kreis_name;bev_total_2024;m_u18;w_u18;m_18_34;w_18_34;m_35_59;w_35_59;m_60_74;w_60_74;m_75plus;w_75plus;bev_18_35;bev_65_plus
05758;Herford, Landkreis;254404.0;22225.0;21778.0;24482.0;21287.0;41864.0;42590.0;24708.0;26531.0;11979.0;16960.0;45769.0;59291.0
05762;Hï¿½xter, Landkreis;139252.0;11946.0;11304.0;13469.0;11090.0;22413.0;22438.0;15165.0;15486.0;6592.0;9349.0;24559.0;34636.0
05766;Lippe, Landkreis;347149.0;32336.0;30323.0;33309.0;30038.0;54723.0;55480.0;34022.0;36637.0;16263.0;24018.0;63347.0;82892.0
05770;Minden-Lï¿½bbecke, Landkreis;320557.0;29403.0;27702.0;31370.0;28096.0;52394.0;51268.0;31399.0;33375.0;14461.0;21089.0;59466.0;74211.0
05774;Paderborn, Landkreis;315912.0;29029.0;26927.0;36178.0;32559.0;52281.0;50541.0;28860.0;30562.0;11854.0;17121.0;68737.0;64877.0
05911;Bochum, kreisfreie Stadt;358676.0;28352.0;26774.0;42393.0;39697.0;58287.0;56856.0;31950.0;35028.0;15548.0;23791.0;82090.0;80338.0
05913;Dortmund, kreisfreie Stadt;603462.0;52912.0;50841.0;70324.0;64964.0;100304.0;98190.0;50461.0;54988.0;23859.0;36619.0;135288.0;123719.0
05914;Hagen, kreisfreie Stadt;190384.0;17811.0;16892.0;19552.0;18909.0;31604.0;30233.0;16962.0;18283.0;7799.0;12339.0;38461.0;41025.0
05915;Hamm, kreisfreie Stadt;179968.0;15990.0;15405.0;19797.0;17205.0;29875.0;29479.0;15897.0;17633.0;7583.0;11104.0;37002.0;39168.0
05916;Herne, kreisfreie Stadt;155851.0;14032.0;13026.0;16305.0;15321.0;25445.0;25530.0;14041.0;15307.0;6573.0;10271.0;31626.0;34436.0
05954;Ennepe-Ruhr-Kreis;314167.0;25729.0;24592.0;28567.0;27036.0;50618.0;52569.0;31576.0;34796.0;15571.0;23113.0;55603.0;78569.0
05958;Hochsauerlandkreis;260843.0;21940.0;20592.0;25656.0;21957.0;43572.0;42539.0;27025.0;28199.0;12033.0;17330.0;47613.0;62310.0
05962;Mï¿½rkischer Kreis;408046.0;35709.0;33218.0;38577.0;34932.0;67686.0;67819.0;40819.0;43057.0;18516.0;27713.0;73509.0;95466.0
05966;Olpe, Landkreis;132346.0;11641.0;10996.0;13332.0;11151.0;22787.0;22304.0;13230.0;13720.0;5437.0;7748.0;24483.0;29039.0
05970;Siegen-Wittgenstein, Landkreis;274074.0;24354.0;22248.0;28923.0;25324.0;44991.0;44076.0;26305.0;28581.0;11976.0;17296.0;54247.0;62441.0
05974;Soest, Landkreis;300297.0;25851.0;24681.0;29086.0;25479.0;50952.0;49792.0;30133.0;31998.0;13280.0;19045.0;54565.0;69469.0
05978;Unna, Landkreis;393784.0;33587.0;31535.0;36215.0;33060.0;64601.0;66475.0;39424.0;43489.0;18443.0;26955.0;69275.0;95818.0
06411;Darmstadt, kreisfreie Stadt;167029.0;13678.0;12842.0;28164.0;21791.0;26003.0;25601.0;11563.0;12897.0;5922.0;8568.0;49955.0;29013.0
06412;Frankfurt am Main, kreisfreie Stadt;756021.0;63934.0;62795.0;95119.0;97505.0;136795.0;135273.0;51337.0;54393.0;24050.0;34820.0;192624.0;120486.0
06413;Offenbach am Main, kreisfreie Stadt;132746.0;12064.0;11791.0;16261.0;15644.0;24700.0;22770.0;9478.0;9638.0;4202.0;6198.0;31905.0;21309.0
06414;Wiesbaden, kreisfreie Stadt;288850.0;25571.0;24333.0;31654.0;31685.0;48434.0;50033.0;22298.0;25221.0;11936.0;17685.0;63339.0;57472.0
06431;Bergstraï¿½e, Landkreis;274169.0;23750.0;22614.0;25187.0;22399.0;45586.0;46607.0;27793.0;29027.0;13183.0;18023.0;47586.0;64975.0
06432;Darmstadt-Dieburg, Landkreis;302021.0;26954.0;25704.0;28512.0;25303.0;51458.0;52295.0;28771.0;30677.0;13846.0;18501.0;53815.0;67534.0
06433;Groï¿½-Gerau, Landkreis;268310.0;25571.0;24033.0;27735.0;24551.0;47452.0;46417.0;22670.0;23735.0;10866.0;15280.0;52286.0;53184.0
