
kreis_id;kreis_name;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.2020;31.12.2021;31.12.2022;31.12.2023;31.12.2024
09376;Schwandorf, Landkreis;148477;149239;147982;148698;149312
09377;Tirschenreuth, Landkreis;71696;71648;72561;72545;72210
09461;Bamberg, kreisfreie Stadt;76674;77749;74405;75087;77150
09462;Bayreuth, kreisfreie Stadt;74048;73909;72661;73074;72940
09463;Coburg, kreisfreie Stadt;40842;40955;40618;40907;41064
09464;Hof, kreisfreie Stadt;45173;45125;46151;46484;46778
09471;Bamberg, Landkreis;147497;147697;147269;148017;147777
09472;Bayreuth, Landkreis;103679;103648;103106;103269;103215
09473;Coburg, Landkreis;86571;86544;84341;84518;84468
09474;Forchheim, Landkreis;116600;116753;115457;116284;116184
09475;Hof, Landkreis;94522;93907;92905;92675;92191
09476;Kronach, Landkreis;66355;66091;65087;65009;64545
09477;Kulmbach, Landkreis;71428;71328;71439;71752;71518
09478;Lichtenfels, Landkreis;66722;66741;67466;67716;67379
09479;Wunsiedel im Fichtelgebirge, Landkreis;71974;71482;70963;70959;70549
09561;Ansbach, kreisfreie Stadt;41681;41662;39596;39700;40742
09562;Erlangen, kreisfreie Stadt;112385;113292;113911;115314;115928
09563;F�rth, kreisfreie Stadt;128223;129122;131060;131712;132036
09564;N�rnberg, kreisfreie Stadt;515543;510632;523734;526606;529508
09565;Schwabach, kreisfreie Stadt;41056;41146;40812;40994;40835
09571;Ansbach, Landkreis;185316;186279;186359;187340;187633
09572;Erlangen-H�chstadt, Landkreis;138105;139323;137981;138581;138325
09573;F�rth, Landkreis;118695;119432;117602;117617;117719
09574;N�rnberger Land, Landkreis;171143;171424;168856;169193;168813
09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;101272;101788;100568;100982;101043
09576;Roth, Landkreis;127168;127520;127472;128438;128632
09577;Wei�enburg-Gunzenhausen, Landkreis;95117;95523;94468;94670;94695
09661;Aschaffenburg, kreisfreie Stadt;70858;71381;72054;72554;73091
09662;Schweinfurt, kreisfreie Stadt;53319;53585;53539;53938;54481
09663;W�rzburg, kreisfreie Stadt;126954;126933;131271;131759;133258
09671;Aschaffenburg, Landkreis;174658;174965;170651;170856;170945
09672;Bad Kissingen, Landkreis;103169;103454;103088;103447;103489
09673;Rh�n-Grabfeld, Landkreis;79510;79376;79216;79430;79375
09674;Ha�berge, Landkreis;84275;84284;83258;83673;83869
09675;Kitzingen, Landkreis;91696;91980;90576;91197;91287
09676;Miltenberg, Landkreis;128743;128782;126649;127204;127547
09677;Main-Spessart, Landkreis;125976;126105;125270;125814;125282
09678;Schweinfurt, Landkreis;115652;116134;114749;114404;113977
09679;W�rzburg, Landkreis;162697;163534;160240;160879;162216
09761;Augsburg, kreisfreie Stadt;295830;296478;296706;298972;301105
09762;Kaufbeuren, kreisfreie Stadt;44662;45118;45459;46071;46193
09763;Kempten (Allg�u), kreisfreie Stadt;68940;69053;65229;65933;67645
09764;Memmingen, kreisfreie Stadt;44360;44721;43696;44048;44192
09771;Aichach-Friedberg, Landkreis;135024;135538;135133;136430;136803
09772;Augsburg, Landkreis;255900;257790;259302;261600;262811
09773;Dillingen an der Donau, Landkreis;97172;97985;97430;98474;98899
09774;G�nzburg, Landkreis;127342;128436;128361;129696;129846
09775;Neu-Ulm, Landkreis;175823;177330;180320;182560;183595
09776;Lindau (Bodensee), Landkreis;82085;82330;81874;82224;82411
09777;Ostallg�u, Landkreis;141907;143236;140153;141137;142047
09778;Unterallg�u, Landkreis;146164;147776;143384;145298;147255
09779;Donau-Ries, Landkreis;134324;134986;133770;134677;135098
09780;Oberallg�u, Landkreis;156308;157202;152664;153394;155413
10041;Regionalverband Saarbr�cken, Landkreis;327502;327284;330672;332416;333149
10042;Merzig-Wadern, Landkreis;103471;103426;109393;109336;108779
10043;Neunkirchen, Landkreis;131172;130847;133544;133667;133179
10044;Saarlouis, Landkreis;193732;193661;205785;206094;205129
10045;Saarpfalz-Kreis;141656;140960;144492;144478;144092
10046;Sankt Wendel, Landkreis;86458;86170;88005;88056;87813
11000;Berlin, kreisfreie Stadt;3664088;3677472;3632853;3662381;3685265
12051;Brandenburg an der Havel, kreisfreie Stadt;72040;72461;73612;73939;74113
12052;Cottbus, kreisfreie Stadt;98693;98359;94250;94778;95123
12053;Frankfurt (Oder), kreisfreie Stadt;57015;56679;56434;57065;57107
12054;Potsdam, kreisfreie Stadt;182112;183154;182987;184290;184754
12060;Barnim, Landkreis;187343;188835;191525;192776;194169
12061;Dahme-Spreewald, Landkreis;173316;175834;176373;177662;178793
12062;Elbe-Elster, Landkreis;101085;100317;99684;98750;97967
12063;Havelland, Landkreis;164693;165906;168494;169721;170834
12064;M�rkisch-Oderland, Landkreis;197195;197965;196930;197785;197817
12065;Oberhavel, Landkreis;214234;215795;216849;217290;217690
12066;Oberspreewald-Lausitz, Landkreis;108396;107558;109091;108434;107793
12067;Oder-Spree, Landkreis;179276;179245;179748;180499;179817
12068;Ostprignitz-Ruppin, Landkreis;98808;98829;99294;99372;99152
12069;Potsdam-Mittelmark, Landkreis;217954;219521;219092;220158;221268
12070;Prignitz, Landkreis;76096;75574;76322;76148;75595
12071;Spree-Nei�e, Landkreis;113011;111955;111083;110580;109635
12072;Teltow-Fl�ming, Landkreis;171554;172545;175569;177420;177688
12073;Uckermark, Landkreis;118250;117336;117822;117797;117432
